Date,Shoe ID,pre1,pre2,pre3,pre4,pre5,avg_pre,Date,post1,post2,post3,post4,post5,avg_post,post-pre
27-June,R25,281.790,281.783,281.785,281.777,281.776,281.782,21-Jan,279.003,278.998,279.001,279.006,279.003,279.002,-2.780
26-June,L26,360.217,360.213,360.219,360.221,360.217,360.217,9-Jan,353.393,353.389,353.385,353.390,353.390,353.389,-6.828
26-June,R26,358.109,358.112,358.108,358.109,358.112,358.110,9-Jan,348.402,348.406,348.410,348.403,348.404,348.405,-9.705
28-June,L27,314.021,314.012,314.005,314.006,314.017,314.012,21-Jan,310.009,310.004,310.008,310.010,310.008,310.008,-4.004
28-June,R27,329.241,329.234,329.242,329.243,329.245,329.241,21-Jan,318.731,318.728,318.733,318.732,318.734,318.732,-10.509
28-June,L28,325.771,325.786,325.777,325.767,325.751,325.770,21-Jan,323.938,323.936,323.939,323.941,323.938,323.938,-1.832
28-June,R28,318.759,318.761,318.758,318.762,318.755,318.759,21-Jan,322.668,322.668,322.670,322.669,322.669,322.669,3.910
28-June,L29,318.490,318.475,318.489,318.482,318.489,318.485,21-Jan,316.809,316.814,316.815,316.816,316.817,316.814,-1.671
28-June,R29,316.820,316.847,316.840,316.833,316.844,316.837,21-Jan,313.651,313.655,313.655,313.657,313.663,313.656,-3.181
28-June,L30,324.040,324.051,324.051,324.046,324.049,324.047,9-Jan,322.920,322.919,322.919,322.918,322.918,322.919,-1.129
28-June,R30,320.391,320.402,320.400,320.396,320.387,320.395,9-Jan,320.679,320.673,320.676,320.671,320.674,320.675,0.279
28-June,L54,324.165,324.165,324.170,324.157,324.170,324.165,21-Jan,206.369,206.371,206.372,206.369,206.368,,
28-June,R54,323.335,323.331,323.340,323.342,323.345,323.339,21-Jan,205.024,205.019,205.019,205.021,205.019,,
26-June,L31,256.208,256.218,256.213,256.214,256.217,256.214,9-Jan,259.443,259.446,259.446,259.450,259.447,259.446,3.232
26-June,R31,256.791,256.796,256.799,256.809,256.801,256.799,9-Jan,255.328,255.325,255.328,255.330,255.328,255.328,-1.471
28-June,L47,254.490,254.513,253.504,254.491,254.490,254.298,,,,,,,#DIV/0!,#DIV/0!
28-June,R47,259.681,259.680,259.680,259.676,259.668,259.677,,,,,,,#DIV/0!,#DIV/0!
28-June,L48,255.809,255.802,255.802,255.806,255.802,255.804,21-Jan,251.842,251.841,251.846,251.844,251.847,251.844,-3.960
28-June,R48,251.844,251.839,251.830,251.839,251.843,251.839,21-Jan,248.149,248.145,248.151,248.150,248.143,248.148,-3.691
28-June,L49,254.366,254.379,254.385,254.377,254.383,254.378,21-Jan,248.592,248.593,248.601,248.606,248.612,248.601,-5.777
28-June,R49,249.916,249.913,249.915,249.917,249.920,249.916,21-Jan,244.817,244.815,244.824,244.829,244.831,244.823,-5.093
28-June,L50,258.717,258.689,258.693,258.700,258.711,258.702,21-Jan,247.853,247.867,247.869,247.874,247.876,247.868,-10.834
28-June,R50,252.882,252.878,252.873,252.880,252.880,252.879,21-Jan,238.927,238.919,238.929,238.928,238.936,238.928,-13.951
27-June,L34,274.320,274.322,274.320,274.319,274.318,274.320,21-Jan,271.053,271.069,271.064,271.073,271.075,271.067,-3.253
27-June,R34,271.074,271.986,271.981,271.976,271.963,271.796,21-Jan,268.831,268.854,268.862,268.860,268.857,268.853,-2.943
27-June,L35,276.682,276.692,276.682,276.689,276.680,276.685,9-Jan,274.896,274.991,274.989,274.993,274.987,274.971,-1.714
27-June,R35,274.352,274.333,274.229,274.354,274.327,274.319,9-Jan,272.284,272.284,272.287,272.288,272.284,272.285,-2.034
27-June,L36,274.595,274.595,274.593,274.593,274.600,274.595,21-Jan,272.376,272.378,272.379,272.379,272.385,272.379,-2.216
27-June,R36,269.775,269.770,269.772,269.778,269.767,269.772,21-Jan,267.550,267.556,267.558,267.560,267.563,267.557,-2.215
27-June,L37,271.484,271.477,271.470,271.475,271.476,271.476,9-Jan,269.431,269.432,269.428,269.428,269.428,269.4294,-2.047
27-June,R37,270.912,270.907,270.907,270.150,270.913,270.758,9-Jan,269.290,269.291,269.290,269.289,269.290,269.290,-1.468
28-June,L38,274.080,274.088,274.087,274.087,274.092,274.087,,,,,,,#DIV/0!,#DIV/0!
28-June,R38,270.942,270.937,270.951,270.942,270.941,270.943,,,,,,,#DIV/0!,#DIV/0!
27-June,L32,210.486,210.488,210.492,210.486,210.485,210.487,21-Jan,204.549,204.551,204.552,204.555,204.550,204.551,-5.936
27-June,R32,210.885,210.877,210.881,210.888,210.893,210.885,21-Jan,204.622,204.626,204.619,204.620,204.624,204.622,-6.263
27-June,L39,210.771,210.768,210.767,210.766,210.759,210.766,21-Jan,208.549,208.547,208.548,208.552,208.548,208.549,-2.217
27-June,R39,212.618,212.614,212.614,212.612,212.608,212.613,21-Jan,210.373,210.370,210.368,210.369,210.366,210.369,-2.244
27-June,L40,205.733,205.729,205.729,205.730,205.731,205.730,21-Jan,200.939,200.935,200.941,200.941,200.943,200.940,-4.791
27-June,R40,211.850,211.833,211.835,211.835,211.849,211.840,21-Jan,197.705,197.707,197.720,197.716,197.717,197.713,-14.127
27-June,L33,213.798,213.813,213.807,213.811,213.804,213.807,9-Jan,204.256,204.255,204.257,204.257,204.258,204.257,-9.550
27-June,R33,204.398,204.388,204.396,204.398,204.388,204.394,9-Jan,203.371,203.367,203.268,203.369,203.368,203.349,-1.045
27-June,L41,212.112,212.110,212.117,212.114,212.116,212.114,9-Jan,211.154,211.155,211.156,211.154,211.157,211.155,-0.959
27-June,R41,208.548,208.544,208.552,208.547,208.545,208.547,9-Jan,210.777,210.775,210.778,210.778,210.776,210.777,2.230
27-June,L42,204.452,204.450,204.449,204.448,204.454,204.451,,,,,,,#DIV/0!,#DIV/0!
27-June,R42,202.752,202.752,202.753,202.761,202.748,202.753,,,,,,,#DIV/0!,#DIV/0!
27-June,L43,205.045,205.039,205.032,205.043,205.059,205.044,21-Jan,203.764,203.765,203.763,203.764,203.761,203.763,-1.280
27-June,R43,201.991,201.995,201.989,201.989,201.999,201.993,21-Jan,200.642,200.640,200.642,200.641,200.646,200.642,-1.350
27-June,L44,213.133,213.136,213.136,213.141,213.143,213.138,,,,,,,#DIV/0!,#DIV/0!
27-June,R44,211.323,211.327,211.322,211.309,211.316,211.319,,,,,,,#DIV/0!,#DIV/0!
27-June,L45,207.345,207.342,207.339,207.331,207.340,207.339,9-Jan,206.323,206.319,206.319,206.316,206.320,#REF!,#REF!
27-June,R45,206.234,206.240,206.243,206.245,206.236,206.240,9-Jan,204.936,204.935,204.937,204.935,204.936,#REF!,#REF!
27-June,L46,206.008,206.009,206.013,206.009,206.014,206.011,21-Jan,204.307,204.308,204.313,204.309,204.306,204.309,-1.702
27-June,R46,204.410,204.410,204.420,204.398,204.397,204.407,21-Jan,203.221,203.224,203.226,203.223,203.225,203.224,-1.183
26-June,L26,360.217,360.213,360.219,360.221,360.217,360.217,,,,,,,#DIV/0!,#DIV/0!
26-June,R26,358.109,358.112,358.108,358.109,358.112,358.110,,,,,,,#DIV/0!,#DIV/0!
28-June,L55,351.092,351.082,351.091,351.088,351.088,351.088,21-Jan,348.331,348.332,348.336,348.343,348.35,348.3384,-2.750
28-June,R55,352.879,352.879,352.885,352.882,352.881,352.881,21-Jan,349.919,349.919,349.929,349.930,349.934,349.926,-2.955
28-June,L56,357.546,357.551,357.552,357.551,357.563,357.553,,,,,,,#DIV/0!,#DIV/0!
28-June,R56,354.013,354.011,354.014,354.018,354.011,354.013,,,,,,,#DIV/0!,#DIV/0!
28-June,L57,352.588,352.590,352.577,352.582,352.594,352.586,21-Jan,348.758,348.759,348.744,348.749,348.753,348.753,-3.834
28-June,R57,358.819,358.811,358.811,358.806,358.818,358.813,21-Jan,354.952,354.957,354.960,354.964,354.976,354.962,-3.851
28-June,L58,356.487,356.490,356.483,356.489,356.481,356.486,21-Jan,354.620,354.625,354.633,354.642,354.638,354.632,-1.854
28-June,R58,363.201,363.199,363.193,363.201,363.191,363.197,21-Jan,362.608,362.609,362.621,362.624,362.630,362.618,-0.579
28-June,L59,358.360,358.346,358.357,358.360,358.357,358.356,21-Jan,352.576,352.580,352.582,352.584,352.588,352.582,-5.774
28-June,R59,356.055,356.055,356.055,356.057,356.050,356.054,21-Jan,350.332,350.333,350.338,350.338,350.341,350.336,-5.718
28-June,L60,351.656,351.655,351.662,351.664,351.666,351.661,21-Jan,348.799,348.811,348.811,348.813,348.819,348.811,-2.850
